age,how_tall_in_meters,weight,body_mass_index,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,user_debora,user_katia,user_wallace,user_jose_carlos,gender_Woman,gender_Man,class_sitting,class_sittingdown,class_standing,class_standingup,class_walking
28,158,54.93615007475401,22.0,-10,102,-95,-492,-514,-613,15,100,-105,-194,-88,-171,0,1,0,0,1,0,0,0,1,0,0
46,162,74.95775678279072,28.6,1,152,-91,-20,140,-87,-205,161,24,-161,-87,-156,1,0,0,0,1,0,0,0,0,0,1
31,171,82.88747673350117,28.4,11,126,-110,11,92,-124,1,44,-140,-194,-69,-150,0,0,1,0,0,1,0,0,0,0,1
28,158,54.93568603104548,22.0,-14,100,-92,-492,-516,-616,23,109,-99,-192,-80,-160,0,1,0,0,1,0,0,0,1,0,0
31,171,82.88603478696663,28.4,5,73,-60,-20,10,-23,82,75,-143,-102,-116,-193,0,0,1,0,0,1,1,0,0,0,0
28,158,54.93926134113442,22.0,-29,30,-30,-262,-270,-340,27,106,-88,-148,-94,-169,0,1,0,0,1,0,1,0,0,0,0
31,171,82.87970479865837,28.4,-1,89,-93,-17,-2,-22,-10,118,-83,-125,-114,-111,0,0,1,0,0,1,0,1,0,0,0
46,162,74.95859866194155,28.6,12,87,-104,-10,110,-130,-4,142,-65,-153,-63,-164,1,0,0,0,1,0,0,0,0,0,1
31,171,82.88981014784021,28.4,-12,97,-134,11,84,-126,13,120,-84,-156,-73,-179,0,0,1,0,0,1,0,0,0,1,0
46,162,74.95598255943759,28.6,1,96,-89,17,52,-113,11,106,-92,-172,-96,-168,1,0,0,0,1,0,0,0,0,0,1
46,162,74.95432636564463,28.6,23,112,-38,16,27,-34,15,96,-57,-166,-97,-151,1,0,0,0,1,0,0,1,0,0,0
28,158,54.93473590570875,22.0,-14,37,-16,-19,-25,-28,29,107,-81,-154,-93,-162,0,1,0,0,1,0,1,0,0,0,0
75,167,66.8758099657017,24.0,-15,96,-101,-10,-8,-20,-62,87,-128,-96,-141,-146,0,0,0,1,0,1,1,0,0,0,0
31,171,82.88725893178264,28.4,-13,131,-112,144,143,-66,0,138,-84,-190,-60,-190,0,0,1,0,0,1,0,0,0,0,1
31,171,82.88447193600611,28.4,-3,93,-109,12,89,-112,19,124,-89,-164,-77,-152,0,0,1,0,0,1,0,0,1,0,0
28,158,54.93691271349263,22.0,-22,94,-111,-491,-515,-616,30,96,-112,-174,-87,-166,0,1,0,0,1,0,0,0,0,0,1
46,162,74.95539295212681,28.6,2,108,-89,17,94,-89,13,108,-103,-180,-87,-168,1,0,0,0,1,0,0,0,1,0,0
31,171,82.88142091352631,28.4,-9,94,-111,-38,-10,-29,48,41,-66,-106,-111,-201,0,0,1,0,0,1,0,0,0,1,0
31,171,82.88593211878387,28.4,7,72,-58,-17,9,-22,65,58,-104,-100,-119,-184,0,0,1,0,0,1,1,0,0,0,0
46,162,74.95777791188877,28.6,20,93,-8,15,30,-28,17,102,-46,-139,-101,-149,1,0,0,0,1,0,1,0,0,0,0
28,158,54.93828711887349,22.0,-1,99,-90,-7,83,-127,27,95,-45,-194,-82,-154,0,1,0,0,1,0,0,0,1,0,0
28,158,54.93845112898341,22.0,0,102,-97,11,89,-116,27,106,-86,-196,-85,-162,0,1,0,0,1,0,0,0,1,0,0
46,162,74.95380820119244,28.6,-7,112,-140,12,47,-27,23,108,-77,-237,-77,-155,1,0,0,0,1,0,0,0,0,1,0
28,158,54.93467086114806,22.0,-16,38,-14,-1,-21,-20,25,108,-81,-147,-95,-163,0,1,0,0,1,0,1,0,0,0,0
31,171,82.8865872318831,28.4,0,116,-115,-7,101,-110,11,128,-91,-207,-74,-190,0,0,1,0,0,1,0,0,0,0,1
46,162,74.95519382413153,28.6,1,94,-87,4,48,-107,11,108,-89,-184,-104,-161,1,0,0,0,1,0,0,0,0,0,1
75,167,66.87551269644428,24.0,-11,95,-91,-18,-15,-22,-59,88,-133,-105,-151,-135,0,0,0,1,0,1,1,0,0,0,0
28,158,54.936959240480576,22.0,-32,18,-31,-278,-362,-377,30,110,-101,-155,-93,-164,0,1,0,0,1,0,1,0,0,0,0
46,162,74.95578562097636,28.6,-11,92,-100,-1,72,-124,15,104,-89,-159,-103,-157,1,0,0,0,1,0,0,0,1,0,0
46,162,74.95145152511117,28.6,-6,95,-84,11,13,-15,48,98,-62,-180,-89,-155,1,0,0,0,1,0,0,0,0,1,0
28,158,54.937906775127146,22.0,-10,120,-93,-50,136,-83,-90,240,-38,-164,-87,-151,0,1,0,0,1,0,0,0,0,0,1
46,162,74.9556176804744,28.6,-10,93,-97,0,73,-120,15,103,-90,-163,-103,-157,1,0,0,0,1,0,0,0,1,0,0
46,162,74.95603048113524,28.6,-11,94,-98,0,78,-123,14,104,-90,-168,-104,-161,1,0,0,0,1,0,0,0,1,0,0
46,162,74.95581359782616,28.6,2,90,-47,-20,22,-16,10,108,-91,-164,-93,-158,1,0,0,0,1,0,1,0,0,0,0
28,158,54.93885169288442,22.0,-3,102,-101,8,84,-129,37,102,-86,-186,-81,-158,0,1,0,0,1,0,0,0,1,0,0
28,158,54.93684808560202,22.0,-6,90,-116,-381,-400,-501,35,120,-132,-186,-84,-174,0,1,0,0,1,0,0,0,0,0,1
75,167,66.87543865783431,24.0,-10,94,-149,-10,87,-95,12,121,-117,-189,-81,-159,0,0,0,1,0,1,0,0,0,0,1
28,158,54.93788991478572,22.0,-2,127,-108,-492,-516,-616,30,140,-114,-167,-66,-167,0,1,0,0,1,0,0,0,0,0,1
28,158,54.94130162236573,22.0,-30,27,-26,-274,-370,-452,27,108,-87,-154,-93,-170,0,1,0,0,1,0,1,0,0,0,0
28,158,54.93689431758178,22.0,6,107,-138,-1,70,-34,11,89,-33,-257,-74,-131,0,1,0,0,1,0,0,0,0,1,0
28,158,54.941078500981796,22.0,-8,96,-112,-8,87,-100,21,110,-120,-192,-90,-141,0,1,0,0,1,0,0,1,0,0,0
46,162,74.95413507511127,28.6,-1,104,-93,-16,87,-59,8,109,-91,-185,-107,-168,1,0,0,0,1,0,0,0,0,0,1
28,158,54.93773302111581,22.0,-3,93,-119,-483,-506,-606,25,73,-113,-179,-85,-174,0,1,0,0,1,0,0,0,0,0,1
28,158,54.93959004960616,22.0,-7,136,-120,-369,-471,-581,91,99,-97,-167,-53,-174,0,1,0,0,1,0,0,0,0,0,1
31,171,82.88691662227197,28.4,1,73,-129,7,76,-83,31,119,-64,-152,-95,-153,0,0,1,0,0,1,0,0,0,1,0
31,171,82.88579275817935,28.4,-32,96,-111,-9,95,-127,24,90,-98,-206,-92,-174,0,0,1,0,0,1,0,0,0,0,1
28,158,54.93556639161284,22.0,-26,85,-127,-493,-516,-616,35,160,-126,-151,-28,-168,0,1,0,0,1,0,0,0,0,0,1
46,162,74.95492065529469,28.6,-9,92,-96,2,73,-106,8,103,-96,-167,-104,-163,1,0,0,0,1,0,0,0,1,0,0
28,158,54.938179144867334,22.0,-6,102,-129,-492,-515,-616,37,118,-138,-171,-90,-182,0,1,0,0,1,0,0,0,0,0,1
75,167,66.87456551267005,24.0,-8,83,-180,-20,58,-48,-5,118,-97,-217,-85,-140,0,0,0,1,0,1,0,1,0,0,0
46,162,74.95648323829535,28.6,-8,69,-39,-6,19,-35,3,95,-72,-156,-109,-166,1,0,0,0,1,0,1,0,0,0,0
46,162,74.95801264033366,28.6,27,97,1,19,32,-27,24,100,-45,-138,-98,-144,1,0,0,0,1,0,1,0,0,0,0
75,167,66.87380991387799,24.0,-14,96,-102,0,-17,-20,-64,90,-99,-188,-91,-126,0,0,0,1,0,1,1,0,0,0,0
28,158,54.940592462820234,22.0,-13,124,-127,-493,-516,-616,19,98,-40,-221,-91,-135,0,1,0,0,1,0,0,0,0,1,0
31,171,82.88112268988417,28.4,-2,98,-109,-18,-20,-20,52,46,-87,-114,-118,-198,0,0,1,0,0,1,0,0,0,1,0
75,167,66.87462785001385,24.0,-11,98,-122,2,-17,-20,7,-1,-87,-239,-104,-124,0,0,0,1,0,1,1,0,0,0,0
28,158,54.94058924470251,22.0,-24,21,-23,-243,-218,-327,38,108,-102,-161,-91,-166,0,1,0,0,1,0,1,0,0,0,0
28,158,54.93754976975542,22.0,-27,32,-30,-263,-317,-344,30,109,-101,-154,-93,-162,0,1,0,0,1,0,1,0,0,0,0
28,158,54.9372594941309,22.0,-12,100,-139,-492,-515,-615,22,137,-116,-166,-65,-172,0,1,0,0,1,0,0,0,0,0,1
46,162,74.95930887161587,28.6,-9,117,-140,33,105,-113,269,142,-294,-160,-88,-154,1,0,0,0,1,0,0,0,0,0,1
46,162,74.95751660786254,28.6,1,103,-143,-9,77,-62,12,107,-71,-197,-96,-155,1,0,0,0,1,0,0,1,0,0,0
31,171,82.88367143730358,28.4,-13,78,-100,-293,-356,-469,17,97,-126,-191,-81,-170,0,0,1,0,0,1,0,0,0,0,1
31,171,82.88713360845122,28.4,-10,106,-137,-128,-172,-369,-83,188,-98,-204,-43,-166,0,0,1,0,0,1,0,0,0,0,1
28,158,54.93621236950812,22.0,-8,103,-96,-491,-513,-613,17,102,-103,-188,-84,-167,0,1,0,0,1,0,0,0,1,0,0
28,158,54.93849230183982,22.0,-5,105,-92,2,86,-124,22,95,-92,-196,-86,-159,0,1,0,0,1,0,0,0,1,0,0
31,171,82.88549983685994,28.4,-1,67,-65,-24,6,-27,85,80,-139,-93,-113,-179,0,0,1,0,0,1,1,0,0,0,0
46,162,74.9567010520646,28.6,-16,118,-84,-26,81,-129,-59,127,50,-167,-84,-160,1,0,0,0,1,0,0,0,0,0,1
28,158,54.93233205172089,22.0,-8,94,-107,0,-9,-18,14,96,-108,-200,-86,-133,0,1,0,0,1,0,0,1,0,0,0
46,162,74.95799054169782,28.6,3,99,-105,-23,79,-128,20,104,-103,-178,-113,-165,1,0,0,0,1,0,0,0,0,0,1
28,158,54.93442349610056,22.0,-18,35,-20,-12,-25,-22,25,108,-81,-147,-96,-163,0,1,0,0,1,0,1,0,0,0,0
28,158,54.93595870319507,22.0,-12,101,-91,-492,-514,-614,19,107,-102,-195,-87,-167,0,1,0,0,1,0,0,0,1,0,0
28,158,54.94130174978453,22.0,-31,27,-20,-278,-377,-459,28,109,-86,-151,-94,-170,0,1,0,0,1,0,1,0,0,0,0
31,171,82.88401142433106,28.4,-8,93,-113,51,51,-122,26,124,-84,-161,-74,-162,0,0,1,0,0,1,0,0,1,0,0
31,171,82.88645298739446,28.4,-6,99,-117,17,90,-141,36,116,-80,-169,-78,-155,0,0,1,0,0,1,0,0,1,0,0
31,171,82.88654841461789,28.4,13,138,-107,80,143,-60,21,199,-72,-235,-61,-175,0,0,1,0,0,1,0,0,0,0,1
31,171,82.88588012875687,28.4,-15,99,-124,3,92,-139,36,119,-79,-174,-77,-153,0,0,1,0,0,1,0,0,1,0,0
28,158,54.93751736369317,22.0,0,88,-108,-488,-511,-611,21,123,-125,-186,-87,-179,0,1,0,0,1,0,0,0,0,0,1
46,162,74.95661829537693,28.6,-7,103,-102,6,84,-126,23,108,-93,-176,-89,-161,1,0,0,0,1,0,0,0,1,0,0
46,162,74.95415566676459,28.6,-3,104,-83,16,82,-83,13,108,-104,-186,-89,-165,1,0,0,0,1,0,0,0,1,0,0
31,171,82.88396841874216,28.4,1,69,-64,-24,-31,-25,67,61,-99,-87,-125,-160,0,0,1,0,0,1,1,0,0,0,0
28,158,54.93859659800879,22.0,-2,101,-98,2,85,-124,29,106,-86,-197,-87,-163,0,1,0,0,1,0,0,0,1,0,0
28,158,54.936718302576054,22.0,-21,118,-119,-493,-516,-616,16,253,-103,-178,-78,-165,0,1,0,0,1,0,0,0,0,0,1
75,167,66.87548503001214,24.0,-10,95,-97,-22,-15,-22,-67,83,-126,-99,-130,-151,0,0,0,1,0,1,1,0,0,0,0
31,171,82.88584409044056,28.4,-11,93,-125,3,89,-142,35,124,-78,-166,-70,-152,0,0,1,0,0,1,0,0,1,0,0
31,171,82.88564803374315,28.4,-8,96,-134,9,93,-129,40,123,-76,-172,-68,-157,0,0,1,0,0,1,0,0,1,0,0
75,167,66.8752040624666,24.0,-12,92,-93,-20,-14,-22,-63,86,-131,-101,-121,-152,0,0,0,1,0,1,1,0,0,0,0
28,158,54.93582705275367,22.0,-7,85,-154,22,34,-31,16,106,-130,-267,-131,-136,0,1,0,0,1,0,0,1,0,0,0
31,171,82.89031689560676,28.4,-11,91,-131,68,92,-202,2,129,-88,-235,-36,-166,0,0,1,0,0,1,0,0,0,0,1
28,158,54.93294303830277,22.0,-1,97,-102,15,-8,-14,26,93,-96,-186,-86,-145,0,1,0,0,1,0,0,1,0,0,0
46,162,74.9562505251562,28.6,-1,96,-110,27,91,-98,10,117,-80,-155,-58,-162,1,0,0,0,1,0,0,0,0,0,1
28,158,54.93873776176575,22.0,-7,100,-101,10,85,-130,37,101,-88,-184,-79,-157,0,1,0,0,1,0,0,0,1,0,0
31,171,82.88390843755667,28.4,-10,93,-113,60,42,-126,28,123,-83,-161,-74,-161,0,0,1,0,0,1,0,0,1,0,0
46,162,74.95609323739906,28.6,-1,100,-66,-12,20,-16,-14,104,-90,-157,-99,-148,1,0,0,0,1,0,1,0,0,0,0
75,167,66.87521866111405,24.0,-14,95,-99,-18,-15,-21,-60,87,-132,-105,-142,-132,0,0,0,1,0,1,1,0,0,0,0
46,162,74.95683560665213,28.6,4,93,-90,-17,80,-115,72,19,-148,-192,-79,-163,1,0,0,0,1,0,0,0,0,0,1
28,158,54.937169117543746,22.0,-20,120,-136,-458,-480,-579,46,119,-141,-187,-68,-169,0,1,0,0,1,0,0,0,0,0,1
28,158,54.94030988614382,22.0,-3,91,-73,-473,-490,-596,4,84,-86,-170,-87,-152,0,1,0,0,1,0,0,0,0,1,0
75,167,66.8765882954047,24.0,-15,92,-138,-14,78,-75,-3,121,-98,-224,-94,-146,0,0,0,1,0,1,0,0,0,1,0
75,167,66.87557441525232,24.0,-11,96,-115,26,-35,-35,-54,94,-82,-111,-111,-138,0,0,0,1,0,1,1,0,0,0,0
31,171,82.88610154773313,28.4,-14,110,-157,-270,-288,-389,-8,109,-90,-169,-94,-115,0,0,1,0,0,1,0,0,0,1,0
31,171,82.88449351796216,28.4,-43,43,-141,-2,87,-151,20,168,-55,-222,-56,-170,0,0,1,0,0,1,0,0,0,0,1
31,171,82.88514362618315,28.4,-31,94,-117,10,92,-127,-1,164,-58,-216,-76,-166,0,0,1,0,0,1,0,0,0,0,1
46,162,74.95616550342407,28.6,-15,106,-87,-333,-425,-533,50,148,-86,-152,-96,-170,1,0,0,0,1,0,0,0,0,0,1
46,162,74.95687284762388,28.6,-18,84,-88,-14,84,-124,59,32,-130,-168,-100,-161,1,0,0,0,1,0,0,0,0,0,1
31,171,82.8855668961621,28.4,-6,95,-115,14,89,-127,26,123,-85,-161,-74,-166,0,0,1,0,0,1,0,0,1,0,0
31,171,82.88582487184689,28.4,-9,89,-126,0,88,-139,31,119,-81,-173,-76,-162,0,0,1,0,0,1,0,0,1,0,0
46,162,74.95850579041415,28.6,36,114,26,18,38,-24,25,100,-30,-129,-95,-142,1,0,0,0,1,0,1,0,0,0,0
28,158,54.93882000690155,22.0,-16,81,-86,-233,-204,-307,-335,-417,-491,-167,-92,-157,0,1,0,0,1,0,0,0,0,1,0
46,162,74.96086502111626,28.6,-2,102,-105,11,89,-115,16,106,-69,-161,-90,-156,1,0,0,0,1,0,0,1,0,0,0
28,158,54.938662517097676,22.0,-1,102,-97,4,87,-122,25,102,-89,-199,-87,-165,0,1,0,0,1,0,0,0,1,0,0
31,171,82.88549887359245,28.4,1,67,-65,-28,0,-27,87,80,-138,-98,-119,-187,0,0,1,0,0,1,1,0,0,0,0
28,158,54.938489446025145,22.0,-3,102,-94,15,87,-122,41,107,-78,-189,-80,-155,0,1,0,0,1,0,0,0,1,0,0
46,162,74.95417134344389,28.6,-7,111,-141,-9,18,-53,32,90,-86,-207,-80,-154,1,0,0,0,1,0,0,0,0,1,0
28,158,54.937241592897635,22.0,-4,98,-95,-493,-516,-616,18,129,-117,-156,-68,-176,0,1,0,0,1,0,0,0,0,0,1
31,171,82.88599689010589,28.4,-9,98,-123,6,92,-137,36,122,-79,-175,-75,-156,0,0,1,0,0,1,0,0,1,0,0
28,158,54.93873613433794,22.0,-4,101,-101,11,85,-127,37,107,-82,-186,-82,-157,0,1,0,0,1,0,0,0,1,0,0
46,162,74.9561405805508,28.6,-7,100,-90,-5,81,-125,30,106,-88,-182,-90,-163,1,0,0,0,1,0,0,0,1,0,0
31,171,82.88579898553438,28.4,-14,90,-126,1,87,-142,33,119,-83,-169,-77,-159,0,0,1,0,0,1,0,0,1,0,0
75,167,66.87594704922242,24.0,-13,96,-98,-10,-8,-21,-62,87,-129,-96,-143,-146,0,0,0,1,0,1,1,0,0,0,0
28,158,54.93753416518346,22.0,4,104,-167,40,17,-51,23,111,-115,-203,-114,-131,0,1,0,0,1,0,0,1,0,0,0
31,171,82.88492871722289,28.4,-11,94,-115,16,88,-123,25,124,-81,-164,-70,-161,0,0,1,0,0,1,0,0,1,0,0
46,162,74.95699384644773,28.6,-19,115,-84,-25,81,-135,-47,209,42,-157,-103,-159,1,0,0,0,1,0,0,0,0,0,1
28,158,54.93571237666908,22.0,-25,26,-24,-264,-355,-341,37,108,-102,-153,-92,-161,0,1,0,0,1,0,1,0,0,0,0
75,167,66.8739210052976,24.0,-15,90,-158,-6,88,-93,16,125,-104,-189,-71,-152,0,0,0,1,0,1,0,0,1,0,0
31,171,82.88387775298656,28.4,-1,69,-66,-24,-32,-25,66,59,-99,-87,-125,-160,0,0,1,0,0,1,1,0,0,0,0
46,162,74.95673119714799,28.6,-4,66,-55,-10,14,-38,-2,94,-74,-162,-109,-173,1,0,0,0,1,0,1,0,0,0,0
46,162,74.9559691948951,28.6,-1,101,-85,16,67,-101,12,108,-94,-171,-99,-170,1,0,0,0,1,0,0,0,0,0,1
28,158,54.93653737445571,22.0,-7,95,-73,-392,-444,-544,20,138,-124,-174,-66,-167,0,1,0,0,1,0,0,0,0,0,1
31,171,82.8843215513342,28.4,1,62,-61,-37,-26,-27,70,63,-110,-86,-144,-163,0,0,1,0,0,1,1,0,0,0,0
31,171,82.88550846943616,28.4,1,66,-64,-20,6,-27,67,61,-102,-94,-119,-167,0,0,1,0,0,1,1,0,0,0,0
46,162,74.95549093385767,28.6,-11,92,-95,-8,69,-125,10,100,-67,-159,-101,-154,1,0,0,0,1,0,0,0,1,0,0
31,171,82.885666385608,28.4,-9,91,-125,4,89,-138,35,125,-78,-169,-68,-156,0,0,1,0,0,1,0,0,1,0,0
28,158,54.938573202112735,22.0,-1,102,-94,16,89,-118,35,102,-84,-194,-85,-160,0,1,0,0,1,0,0,0,1,0,0
31,171,82.88567892991364,28.4,2,70,-63,-23,8,-25,90,83,-138,-93,-114,-180,0,0,1,0,0,1,1,0,0,0,0
46,162,74.95478187923999,28.6,-6,85,-95,6,-11,-90,40,39,-62,-177,-94,-148,1,0,0,0,1,0,0,0,0,1,0
46,162,74.95836573895659,28.6,32,102,10,16,36,-26,28,101,-42,-135,-100,-145,1,0,0,0,1,0,1,0,0,0,0
75,167,66.87557224356343,24.0,-13,86,-150,-25,80,-106,12,87,-141,-194,-95,-154,0,0,0,1,0,1,0,0,0,0,1
46,162,74.95906296721934,28.6,15,109,-52,22,82,-80,19,105,-71,-161,-95,-156,1,0,0,0,1,0,0,1,0,0,0
28,158,54.9384535840228,22.0,0,101,-103,2,86,-121,16,88,-96,-192,-81,-157,0,1,0,0,1,0,0,0,1,0,0
46,162,74.96032334879138,28.6,-9,99,-87,14,87,-119,39,92,-67,-178,-88,-151,1,0,0,0,1,0,0,0,0,1,0
31,171,82.88466417622833,28.4,-6,91,-106,21,85,-119,21,122,-81,-166,-68,-164,0,0,1,0,0,1,0,0,1,0,0
75,167,66.8749961082861,24.0,-12,95,-97,4,-30,-21,-59,93,-122,-105,-121,-159,0,0,0,1,0,1,1,0,0,0,0
28,158,54.9391807955355,22.0,-28,20,-28,-257,-260,-337,37,108,-102,-160,-89,-168,0,1,0,0,1,0,1,0,0,0,0
46,162,74.95691872869365,28.6,-1,108,-91,7,92,-121,20,108,-97,-176,-90,-162,1,0,0,0,1,0,0,0,1,0,0
31,171,82.88425091322787,28.4,3,70,-62,-23,-27,-23,61,54,-104,-95,-129,-167,0,0,1,0,0,1,1,0,0,0,0
31,171,82.88518491649836,28.4,-6,96,-111,16,89,-122,22,124,-83,-159,-74,-160,0,0,1,0,0,1,0,0,1,0,0
28,158,54.938760374569114,22.0,-5,101,-99,1,84,-129,7,77,-100,-196,-87,-162,0,1,0,0,1,0,0,0,1,0,0
31,171,82.88582696074387,28.4,-10,92,-129,18,88,-136,45,115,-77,-177,-77,-152,0,0,1,0,0,1,0,0,1,0,0
46,162,74.95584340158712,28.6,-1,89,-48,-19,22,-17,16,108,-88,-158,-94,-159,1,0,0,0,1,0,1,0,0,0,0
28,158,54.93948949482568,22.0,-28,12,-31,-237,-242,-328,38,107,-102,-161,-91,-166,0,1,0,0,1,0,1,0,0,0,0
28,158,54.93801046129076,22.0,-8,90,-138,-21,70,-55,7,106,-125,-235,-122,-136,0,1,0,0,1,0,0,1,0,0,0
31,171,82.88569462393986,28.4,-10,91,-125,4,88,-140,34,125,-79,-170,-69,-155,0,0,1,0,0,1,0,0,1,0,0
31,171,82.88563120426441,28.4,-14,91,-129,-1,88,-143,34,126,-78,-169,-70,-150,0,0,1,0,0,1,0,0,1,0,0
46,162,74.95940868806774,28.6,4,103,-108,4,86,-87,15,107,-76,-164,-93,-158,1,0,0,0,1,0,0,1,0,0,0
46,162,74.95699555186948,28.6,2,85,-20,6,27,-28,16,97,-68,-149,-109,-155,1,0,0,0,1,0,1,0,0,0,0
31,171,82.88421186789962,28.4,6,71,-60,-21,-28,-22,63,56,-102,-90,-130,-159,0,0,1,0,0,1,1,0,0,0,0
28,158,54.93209379628795,22.0,-9,92,-128,9,-9,-4,15,50,-70,-202,-89,-139,0,1,0,0,1,0,0,1,0,0,0
75,167,66.87464765229852,24.0,-7,92,-143,-3,90,-97,12,120,-110,-185,-78,-154,0,0,0,1,0,1,0,0,1,0,0
31,171,82.88403688571644,28.4,0,66,-66,-24,-29,-25,62,55,-103,-95,-126,-166,0,0,1,0,0,1,1,0,0,0,0
46,162,74.95569294589846,28.6,5,159,-136,-22,79,-63,-9,122,-85,-143,-88,-163,1,0,0,0,1,0,0,0,0,0,1
28,158,54.938562231902,22.0,-3,104,-96,7,87,-121,33,104,-84,-200,-88,-161,0,1,0,0,1,0,0,0,1,0,0
31,171,82.88571119836978,28.4,-11,91,-126,3,89,-138,31,119,-80,-171,-75,-156,0,0,1,0,0,1,0,0,1,0,0
31,171,82.88566553380902,28.4,-20,83,-99,-270,-286,-387,8,111,-87,-130,-123,-128,0,0,1,0,0,1,0,1,0,0,0
28,158,54.93695042729093,22.0,-1,82,-113,-492,-515,-614,22,125,-142,-170,-68,-169,0,1,0,0,1,0,0,0,0,0,1
31,171,82.88527596025546,28.4,-18,77,-102,-269,-286,-386,-5,106,-84,-142,-117,-121,0,0,1,0,0,1,0,1,0,0,0
46,162,74.9559641659228,28.6,1,94,-57,-14,21,-14,16,108,-93,-164,-92,-162,1,0,0,0,1,0,1,0,0,0,0
46,162,74.95559116904258,28.6,-9,91,-91,-3,72,-121,13,104,-87,-161,-103,-161,1,0,0,0,1,0,0,0,1,0,0
28,158,54.94106775078802,22.0,-8,98,-106,1,84,-98,21,110,-121,-192,-89,-150,0,1,0,0,1,0,0,1,0,0,0
28,158,54.936002029846684,22.0,-23,78,-134,-483,-505,-605,47,168,-125,-151,-42,-181,0,1,0,0,1,0,0,0,0,0,1
31,171,82.88385940153272,28.4,-9,94,-112,63,45,-122,26,122,-83,-163,-75,-159,0,0,1,0,0,1,0,0,1,0,0
31,171,82.88483300488946,28.4,-12,92,-133,7,91,-124,38,122,-77,-181,-72,-146,0,0,1,0,0,1,0,0,1,0,0
31,171,82.8836708826058,28.4,1,97,-108,66,44,-114,19,124,-91,-176,-74,-158,0,0,1,0,0,1,0,0,1,0,0
75,167,66.87440225911408,24.0,-12,93,-157,-4,91,-93,14,120,-108,-196,-79,-155,0,0,0,1,0,1,0,0,1,0,0
28,158,54.93838230841722,22.0,-3,101,-101,3,84,-122,29,105,-86,-200,-85,-162,0,1,0,0,1,0,0,0,1,0,0
46,162,74.9542988326681,28.6,-9,101,-125,6,53,-35,14,105,-79,-226,-89,-161,1,0,0,0,1,0,0,0,0,1,0
31,171,82.88535708813384,28.4,5,121,-123,-2,59,-103,11,126,-89,-213,-93,-195,0,0,1,0,0,1,0,0,0,0,1
28,158,54.94065983788938,22.0,0,76,-136,-492,-515,-615,19,98,-45,-247,-110,-160,0,1,0,0,1,0,0,0,0,1,0
46,162,74.95557943105487,28.6,-11,93,-96,-1,68,-123,18,103,-90,-159,-105,-156,1,0,0,0,1,0,0,0,1,0,0
46,162,74.95647877251918,28.6,-6,103,-102,5,85,-123,23,108,-97,-179,-89,-160,1,0,0,0,1,0,0,0,1,0,0
31,171,82.89048866084347,28.4,7,126,-106,105,140,-121,10,136,-90,-221,-76,-189,0,0,1,0,0,1,0,0,0,0,1
31,171,82.88632548390147,28.4,-8,78,-156,-285,-297,-402,-6,113,-72,-222,-91,-168,0,0,1,0,0,1,0,1,0,0,0
